user_name,user_id,video_id,music,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
edvardduf,6668574087726268421,6952086898902863110,Heartbreak Anniversary,@badboyash_ @lilhoisin @albin1o1 @discokarl #fypシ  #heartbreakanniversary,1618658874,34,https://www.tiktok.com/@edvardduf/video/6952086898902863110?lang=en,2250,34,72,35300
hamstergang.is.the.goate,6706868794662470662,6944369580160601350,originalljud,,1616862042,8,https://www.tiktok.com/@hamstergang.is.the.goate/video/6944369580160601350?lang=en,1692,298,41,39100
brodernas,6886150367882413057,6947352226411089158,originalljud,Gör ni också såhär? Ett väldigt märkligt men smart sätt att hälla upp sin dricka på😳💃 #brödernas,1617556493,15,https://www.tiktok.com/@brodernas/video/6947352226411089158?lang=en,88000,649,574,880100
noraalsaki,6800505075623560198,6924315381599325446,original sound,#fyp #fördig #catsvideo #petsoftiktok #قطط #catsoftiktok #بسس #قطاوه #اكسبلور,1612192821,12,https://www.tiktok.com/@noraalsaki/video/6924315381599325446?lang=en,244,1,7,14100
king_kong268,6808187245838566405,6948083247205190918,originalljud,#fyp #fördig  #arg,1617726697,9,https://www.tiktok.com/@king_kong268/video/6948083247205190918?lang=en,67700,5902,1838,486200
user4hamster,6932216763119764486,6932396528246050053,just the two of us,🐹❤️ #hamster #hamstercult #chocolate #loveislove #loveyou #charlidamelio #fyp #bts #foryou #kiss,1614074382,12,https://www.tiktok.com/@user4hamster/video/6932396528246050053?lang=en,37900,101,425,1300000
lisaandlena,6804783597552239621,6943975209607171334,talking to the moon faded,lil #pov,1616770222,9,https://www.tiktok.com/@lisaandlena/video/6943975209607171334?lang=en,742600,2218,4603,4500000
gudomligmat,6892570941885907973,6950228033265503493,original sound,Nutellafrappucino med chokladboba 🍫 #fördig #foryou #fyp,1618226072,10,https://www.tiktok.com/@gudomligmat/video/6950228033265503493?lang=en,108800,1942,1770,1100000
daniel.ethadpoor,6862032809717433350,6924354553349410053,original sound,#model #mode #models #style #stylish #hair #hairstyle #haircut #fashion #barber #barbershop #beard #sverige #stockholm #italia #israel #london #usa,1612201938,10,https://www.tiktok.com/@daniel.ethadpoor/video/6924354553349410053?lang=en,1677,52,13,202600
lisaandlena,6804783597552239621,6931059933089664262,original sound,"The sun is out again, I’m so ready to wear my sunglasses again!!🙌🏽✨ #sunglasses",1613763155,14,https://www.tiktok.com/@lisaandlena/video/6931059933089664262?lang=en,1400000,1825,4511,8500000
daniel.ethadpoor,6862032809717433350,6945800082100882694,Pitbull Terrier,#barber #barbershop #beard #hair #hairstyle #haircut #mood #model #style #stylish #fashion #sverige #stockholm #italia #israel #japan #london #usa #a,1617195108,11,https://www.tiktok.com/@daniel.ethadpoor/video/6945800082100882694?lang=en,5109,30,57,250700
respect.boss15,6867943312944284677,6950614490090130693,Write This Down(DJ弹鼓版),#60 #fyp #respect,1618316051,16,https://www.tiktok.com/@respect.boss15/video/6950614490090130693?lang=en,2522,6,9,26600
lisaandlena,6804783597552239621,6944761153419529477,original sound,We can relate 100%!!😂 #twins,1616953212,28,https://www.tiktok.com/@lisaandlena/video/6944761153419529477?lang=en,4800000,18600,10600,20200000
miakhalifa,6780564068844880902,6949541066144009478,Buss It,First del taco experience. 8.3/10.,1618066123,14,https://www.tiktok.com/@miakhalifa/video/6949541066144009478?lang=en,1200000,6423,36200,8800000
lisaandlena,6804783597552239621,6931357049490132229,Upside Down Acoustic ALL TIKTOK MASHUP,🤍💜💛 #lookbook,1613832335,15,https://www.tiktok.com/@lisaandlena/video/6931357049490132229?lang=en,662800,1151,3154,3600000
lisaandlena,6804783597552239621,6932557288439893254,the bob for me,"Which one? 1,2 or 3? #lookbook#style",1614111786,14,https://www.tiktok.com/@lisaandlena/video/6932557288439893254?lang=en,436000,559,6454,2700000
lisaandlena,6804783597552239621,6946957377803472134,my taste of music is ur face,Had an amazing shoot 📸 We‘ll post more pictures of it on Instagram 💛 #photoshoot#goodvibes,1617464561,8,https://www.tiktok.com/@lisaandlena/video/6946957377803472134?lang=en,439500,601,1495,2400000
